Participant_ID,Age,Gender,StudyPreference,Emotion,Exam1,Exam2,Correct_NoTimer,Incorrect_NoTimer,Correct_Timer,Incorrect_Timer,AverageRT_NoTimer,AverageRT_Timer
46,21,Male,NoTimer,Avoidant,75,50,20,0,20,1,2.29473,0.9803
47,20,Male,Timer,Neutral,63.3,92,19,0,19,12,1.3308,1.2213
48,20,Female,NoTimer,Stressed,100,82,19,1,17,0,1.1091,1.2213
49,20,Male,Sometime,Motivated,70,76,19,0,19,2,1.07452,1.5205
50,20,Male,Timer,Stressed,86.6,92,19,12,18,1,1.3308,1.2052
51,20,Female,NoTimer,Stressed,41,40,19,0,20,0,1.338783,1.2052
52,21,Female,Sometime,Stressed,80.5,10,17,1,17,5,1.3282,1.116699
53,25,Male,Timer,Stressed,40,90,19,12,20,2,1.338783,1.08955
54,19,Female,NoTimer,Stressed,84,35,20,1,19,5,1.2681,0.9457
55,21,Male,Unsure,Stressed,84,47,20,12,20,0,1.1719,1.01614
56,21,Male,Timer,Stressed,40,100,19,0,18,1,0.6091,1.180277
57,19,Female,NoTimer,Stressed,75,92,19,1,17,0,1.16364,0.7927
58,58,Female,NoTimer,Stressed,91.6,92,20,0,20,2,1.877207,1.02098
59,20,Female,Unsure,Avoidant,31.6,66.6,20,1,18,6,1.3282,0.646
60,21,Female,NoTimer,Stressed,62,95,8,0,14,1,0.8394,1.01614
61,20,Male,NoTimer,Stressed,31.6,10,19,1,19,0,0.8837,0.7927
62,21,Female,NoTimer,Stressed,63.3,73.3,19,1,19,12,0.9531,1.19848
63,19,Female,Unsure,Avoidant,62,92,20,1,14,1,1.07452,1.116699
64,20,Male,Timer,Motivated,40,100,19,12,20,0,1.15868,1.04521
65,23,Female,NoTimer,Stressed,40,50,20,0,20,1,1.405392,0.867389
66,20,Male,Sometime,Avoidant,95,90,17,1,18,3,1.15868,1.5205
67,20,Male,Timer,Neutral,95,50,20,1,20,1,1.0338,1.02098
68,20,Male,Sometime,Stressed,100,47,20,0,19,0,0.8394,1.5205
69,20,Female,Sometime,Motivated,93,73.3,19,1,19,1,1.338783,1.2052
70,19,Male,Sometime,Stressed,86.6,72.5,19,0,17,0,1.2373,1.04521
71,20,Male,NoTimer,Neutral,75,76,17,0,15,1,0.8017,1.19848
72,23,Male,NoTimer,Motivated,89,77.7,17,1,17,3,1.01763,1.180277
73,19,Female,Timer,Stressed,62,50,20,1,20,5,1.1719,1.5205
74,20,Female,Timer,Stressed,95,72.5,19,1,20,0,1.1636,1.5205
75,25,Female,NoTimer,Stressed,93,92,19,0,20,0,1.877207,1.631261
76,20,Female,Timer,Stressed,95,77.7,19,1,15,1,1.15868,1.1935
77,20,Female,NoTimer,Stressed,40,82,19,1,20,0,1.16364,1.5205
78,21,Female,Timer,Neutral,62,77.7,19,1,20,1,1.039681,1.5205
79,20,Female,Timer,Avoidant,75,50,20,0,8,3,1.0896,0.7927
80,58,Female,NoTimer,Stressed,56,60,20,1,19,12,1.877207,0.857
81,25,Male,NoTimer,Stressed,91.6,96.8,19,0,19,12,0.9531,1.099719
82,20,Male,Sometime,Neutral,89,35,17,0,20,1,1.405392,0.9457
83,21,Male,Sometime,Stressed,56,77.7,19,1,17,0,0.9531,1.631261
84,20,Female,Sometime,Stressed,89,92,19,1,20,5,0.92298,1.1935
85,23,Male,NoTimer,Avoidant,50,65,20,0,20,0,1.08366,0.9457
86,58,Male,NoTimer,Motivated,95,60,20,1,19,1,1.877207,1.19848
87,19,Female,Timer,Stressed,76.6,92,20,0,18,0,1.01763,1.595355
88,19,Male,NoTimer,Neutral,47.5,10,17,0,20,12,1.13386,1.631261
89,58,Female,Sometime,Stressed,40,100,19,0,18,0,1.338783,1.631261
90,20,Female,NoTimer,Motivated,72,66.6,20,0,19,2,1.01763,0.867389
91,35,Male,NoTimer,Stressed,40,84,20,1,15,12,2.29473,0.9803
92,21,Male,Unsure,Stressed,89,72.5,19,1,17,0,1.22575,1.1935
93,20,Female,Timer,Stressed,76.6,72.5,20,1,19,12,1.198,0.7927
94,19,Female,NoTimer,Stressed,84,85,19,0,19,0,1.7207,1.144
95,20,Male,Timer,Avoidant,56,60,20,1,20,0,1.1091,1.099719
96,58,Female,NoTimer,Stressed,58,66.6,8,0,8,0,1.1636,1.116699
97,23,Male,Timer,Neutral,84,90,19,0,15,12,2.29473,0.7927
98,25,Female,NoTimer,Neutral,91.6,76,17,0,17,1,1.07452,1.180277
99,58,Female,NoTimer,Stressed,91.6,73.3,20,0,15,12,0.8394,1.116699
100,21,Female,Timer,Stressed,40,92,20,3,20,0,1.1719,1.1935
101,20,Male,Sometime,Avoidant,87.5,96.8,20,0,20,1,1.16364,1.631261
102,20,Female,Unsure,Stressed,86.6,90,19,1,19,3,1.22575,1.099719
103,20,Female,NoTimer,Stressed,50,28,20,3,20,1,1.01763,0.857
104,21,Male,Timer,Stressed,56,95,19,0,20,1,1.3282,1.116699
105,21,Female,NoTimer,Stressed,58,90,8,0,19,3,1.07452,1.5205
106,20,Female,Sometime,Stressed,84,47,20,0,15,0,1.338783,1.2213
107,19,Female,Unsure,Stressed,41,10,19,0,19,0,0.9531,0.9457
108,19,Female,NoTimer,Neutral,89,50,20,0,14,3,1.039681,1.5205
109,20,Female,Timer,Stressed,80.5,35,20,0,17,1,1.22575,1.1253
110,19,Female,Sometime,Stressed,62,72.5,19,0,20,3,1.07452,1.5205
111,20,Male,NoTimer,Avoidant,41,90,19,3,17,2,1.08366,0.66055
112,21,Male,Timer,Stressed,86.6,66.6,20,0,17,5,1.0896,0.9457
113,20,Male,NoTimer,Stressed,65,96.8,20,12,20,3,1.22575,1.19848
114,19,Male,Sometime,Stressed,63.3,92,20,1,19,3,1.22575,1.116699
115,20,Male,Timer,Stressed,75,92,20,0,18,2,0.9408,0.9457
116,21,Male,Sometime,Neutral,95,82,19,0,17,0,1.18352,1.631261
117,21,Male,Timer,Stressed,76.6,100,20,1,20,2,1.7207,1.1935
118,19,Male,Timer,Neutral,62,95,20,0,19,0,0.9531,0.7902
119,58,Male,Unsure,Motivated,76.6,73.3,20,0,18,1,1.2681,0.867389
120,20,Female,NoTimer,Stressed,62,47,20,0,8,0,1.2681,1.19848
121,20,Female,Timer,Motivated,76.6,47,19,0,15,1,1.2681,0.9803
122,20,Female,NoTimer,Stressed,41,87,19,0,19,2,0.8394,1.04521
123,23,Male,Timer,Stressed,95,60,19,1,20,3,1.039681,1.1221
124,21,Female,Sometime,Stressed,40,80,20,0,20,0,0.6091,1.02098
125,19,Male,Unsure,Motivated,76.6,84,20,0,18,1,1.01763,1.1935
126,20,Male,Timer,Neutral,58,47,8,0,19,1,1.07452,0.857
127,21,Female,NoTimer,Neutral,56,82,20,1,19,3,0.8394,0.9803
128,19,Female,Unsure,Stressed,75,90,19,0,19,0,1.08366,1.595355
129,20,Male,NoTimer,Stressed,62,84,19,0,17,2,1.1091,0.646
130,20,Male,NoTimer,Neutral,87.5,70,19,1,17,3,1.13386,1.099719
131,19,Male,NoTimer,Avoidant,100,90,19,1,20,2,1.405392,1.19848
132,19,Female,Timer,Avoidant,93,73.3,19,0,19,0,1.07452,0.9803
133,20,Female,Timer,Motivated,91.6,65,20,0,20,5,1.1719,1.2052
134,20,Female,Sometime,Avoidant,70,92,20,0,20,0,1.338783,1.01614
135,21,Female,Sometime,Stressed,40,73.3,20,0,20,0,1.01763,0.867389
136,19,Female,Sometime,Neutral,76.6,72.5,19,0,19,3,1.877207,1.099719
137,23,Female,Timer,Neutral,31.6,72.5,20,0,18,5,1.405392,0.984768
138,21,Male,NoTimer,Stressed,86.6,72.5,19,0,17,0,1.7207,1.04521
139,19,Female,Sometime,Stressed,40,92,20,0,20,1,1.2373,1.1253
140,20,Male,Timer,Motivated,84,85,20,0,19,0,1.3308,1.099719
141,19,Female,Unsure,Stressed,93,66.6,19,0,20,0,1.1636,0.9684
142,21,Male,Sometime,Stressed,97,73.3,19,1,19,0,0.8017,0.984768
143,20,Male,Sometime,Stressed,41,83,19,1,15,1,1.0896,1.5205
144,21,Female,Timer,Neutral,50,85,19,0,19,0,1.198,1.19848
145,23,Male,Sometime,Neutral,65,60,20,1,18,0,1.18352,0.857
146,20,Male,Unsure,Stressed,76.6,82,20,1,18,1,1.0896,0.984768
147,20,Female,NoTimer,Stressed,31.6,92,17,0,19,0,1.877207,0.984768
148,19,Female,NoTimer,Stressed,91.6,48,20,0,18,2,1.0338,1.2052
149,23,Female,NoTimer,Stressed,84,80,17,1,19,12,1.1091,0.984768
150,20,Male,Sometime,Avoidant,87.5,66.6,19,0,20,1,1.15868,1.19848
151,20,Female,NoTimer,Neutral,62,77.7,19,0,19,0,1.15868,1.04521
152,19,Male,Sometime,Avoidant,50,28,19,1,19,1,1.1636,1.1935
153,19,Female,Unsure,Stressed,93,84,17,12,20,0,0.8837,1.1935
154,19,Male,Timer,Stressed,63.3,40,19,0,20,12,2.29473,1.1253
155,25,Male,NoTimer,Neutral,41,60,20,12,20,2,1.15868,0.66055
156,20,Female,Sometime,Stressed,93,80,19,12,14,0,1.07452,0.9803
157,25,Male,Unsure,Stressed,40,100,8,0,17,1,1.1636,1.063401
158,58,Female,NoTimer,Stressed,56,89,19,0,20,0,1.3282,1.04521
159,21,Female,Sometime,Motivated,87.5,80,19,0,18,1,0.9531,1.1935
160,21,Female,Sometime,Neutral,70,10,19,1,19,2,1.15868,1.02098
161,19,Male,NoTimer,Stressed,100,40,8,1,18,5,1.15868,1.1253
162,19,Male,Sometime,Stressed,47.5,40,20,0,20,1,1.2373,0.9457
163,20,Male,Sometime,Stressed,75,87,17,1,20,12,1.405392,1.2052
164,20,Female,Timer,Avoidant,40,28,17,0,20,12,0.9531,0.7902
165,21,Female,Timer,Avoidant,91.6,90,19,0,19,0,0.6091,0.66055
166,19,Female,Timer,Stressed,80.5,87,20,0,20,0,1.15868,1.144
167,20,Female,Timer,Motivated,63.3,66.6,8,0,20,5,1.338783,1.116699
168,20,Male,Timer,Stressed,72,85,20,1,20,1,1.13386,0.66055
169,21,Female,NoTimer,Avoidant,86.6,95,19,0,20,0,1.07452,0.66055
170,19,Male,Unsure,Avoidant,75,60,19,0,19,2,1.07452,1.631261
171,21,Female,Sometime,Stressed,40,35,20,0,14,1,1.3282,1.1935
172,25,Male,Sometime,Motivated,58,73.3,20,0,15,1,1.2373,1.2052
173,21,Male,NoTimer,Stressed,63.3,80,19,1,17,6,1.13386,0.7927
174,23,Female,Sometime,Stressed,72,90,19,1,20,5,0.92298,1.099719
175,20,Male,Timer,Stressed,40,72.5,20,0,20,0,1.08366,1.631261
176,20,Female,Timer,Stressed,50,95,20,0,17,0,1.0896,1.2052
177,21,Female,Timer,Stressed,50,87,20,0,18,5,0.8394,0.867389
178,58,Female,NoTimer,Avoidant,95,80,20,0,20,2,1.01763,1.1221
179,25,Male,Sometime,Motivated,89,60,19,12,15,0,1.15868,0.7927
180,58,Male,NoTimer,Neutral,50,77.7,19,1,20,0,0.8017,1.04521
181,19,Female,Timer,Neutral,62,84,19,12,20,1,1.338783,1.180277
182,20,Male,NoTimer,Stressed,72,50,19,0,8,1,1.18352,1.631261
183,20,Male,Timer,Stressed,63.3,92,19,0,20,1,1.405392,0.9803
184,58,Male,NoTimer,Stressed,63.3,40,20,1,17,0,0.9408,1.08955
185,19,Female,Unsure,Neutral,89,47,19,0,15,1,1.16364,0.9803
186,25,Male,Unsure,Stressed,87.5,92,19,3,18,0,1.15868,1.1253
187,23,Female,NoTimer,Stressed,40,60,20,3,20,1,1.7207,1.1968
188,20,Male,Timer,Motivated,40,96.8,20,1,15,0,0.9531,0.9457
189,20,Male,Timer,Stressed,75,35,19,0,15,12,1.01763,0.9803
190,21,Male,Timer,Stressed,50,28,20,0,18,1,1.15868,1.1968
191,19,Female,Sometime,Motivated,87.5,10,19,0,19,3,0.8394,0.7927
192,21,Female,Timer,Avoidant,75,92,19,0,20,2,1.08366,0.97388
193,20,Male,Timer,Stressed,100,92,20,1,19,1,1.07452,0.7927
194,20,Male,Timer,Avoidant,89,65,19,0,18,1,1.3282,0.9457
195,23,Male,NoTimer,Stressed,91.6,47,17,3,20,1,1.16364,0.9684
196,20,Male,NoTimer,Stressed,80.5,100,17,1,20,1,1.405392,0.867389
197,58,Female,Sometime,Stressed,70,60,20,0,19,1,1.07452,0.7927
198,20,Female,Timer,Neutral,50,66.6,19,0,17,0,1.2681,1.02098
199,19,Male,Sometime,Stressed,62,96.8,20,1,15,5,1.2373,1.19848
200,25,Male,Timer,Avoidant,75,87,20,1,8,12,1.7207,0.646
201,19,Female,NoTimer,Avoidant,56,96.8,17,0,20,1,0.9531,1.116699
202,20,Male,Timer,Avoidant,89,92,19,0,17,0,0.8017,0.9457
203,19,Male,NoTimer,Avoidant,100,73.3,20,1,8,0,0.8394,1.631261
204,21,Female,Sometime,Stressed,50,60,17,0,19,6,1.2373,1.116699
205,19,Male,NoTimer,Motivated,70,28,19,0,14,12,1.877207,0.857
206,20,Female,Timer,Neutral,62,50,20,1,18,1,1.07452,1.144
207,58,Male,NoTimer,Stressed,76.6,85,19,0,17,1,1.146621,1.5205
208,19,Female,NoTimer,Stressed,41,90,20,0,18,0,1.2681,0.66055
209,20,Female,Timer,Stressed,58,72.5,8,0,20,12,1.1719,1.063401
210,21,Male,NoTimer,Stressed,50,73.3,19,1,20,1,1.15868,1.02098
211,21,Male,NoTimer,Stressed,89,40,19,3,19,0,1.7207,1.631261
212,58,Female,NoTimer,Stressed,91.6,89,20,1,17,2,1.3282,1.631261
213,20,Female,Unsure,Neutral,95,80,20,1,19,3,1.0338,1.1968
214,19,Male,NoTimer,Stressed,31.6,92,20,0,19,0,0.9531,0.857
215,58,Male,Sometime,Neutral,95,80,19,0,17,3,1.039681,1.5205
216,21,Male,Unsure,Stressed,63.3,92,17,0,20,12,0.8837,1.2213
217,25,Female,NoTimer,Neutral,62,84,20,0,20,3,1.7207,1.1968
218,23,Male,NoTimer,Stressed,70,65,20,0,8,1,1.198,1.1968
219,20,Male,Unsure,Stressed,84,92,20,1,18,3,0.9531,1.08955
220,20,Male,Timer,Stressed,87.5,90,20,0,19,1,1.01763,1.1968
221,20,Female,NoTimer,Stressed,95,47,19,1,17,3,1.198,1.01614
222,58,Female,Sometime,Neutral,50,92,19,12,20,2,1.3308,1.063401
223,23,Female,NoTimer,Stressed,40,50,17,3,19,1,0.9531,1.01614
224,25,Male,Timer,Stressed,84,76,20,0,17,0,1.877207,1.5205
225,20,Male,Sometime,Motivated,84,50,17,0,8,0,1.08366,1.2213
226,19,Male,NoTimer,Avoidant,89,50,20,0,20,3,0.6091,0.97388
227,23,Male,Timer,Motivated,62,47,20,1,18,5,1.3308,1.2052
228,58,Female,Unsure,Neutral,56,28,20,1,8,1,1.2373,0.97388
229,19,Female,Sometime,Motivated,40,70,19,12,20,0,0.6091,1.02098
230,20,Female,NoTimer,Neutral,41,35,19,3,20,3,1.146621,0.857
231,58,Male,NoTimer,Stressed,47.5,65,19,1,20,1,1.3308,0.7927
232,20,Male,Sometime,Stressed,87.5,96.8,20,0,20,12,1.22575,0.857
233,20,Female,NoTimer,Avoidant,50,72.5,20,0,15,3,0.8017,1.631261
234,19,Female,NoTimer,Avoidant,62,72.5,20,0,18,1,1.0338,1.2213
235,20,Female,Unsure,Motivated,47.5,77.7,20,12,20,3,1.1091,0.867389
236,20,Male,Sometime,Stressed,86.6,90,20,12,20,2,1.198,0.857
237,19,Male,NoTimer,Avoidant,75,70,20,1,19,1,1.3308,1.631261
238,20,Female,NoTimer,Stressed,75,90,19,0,20,1,1.15868,0.9803
239,25,Male,NoTimer,Stressed,40,90,8,0,17,12,1.405392,0.857
240,25,Female,NoTimer,Stressed,50,95,19,0,20,2,1.22575,1.5205
241,21,Female,Timer,Stressed,40,92,19,3,19,2,1.198,1.5205
242,20,Female,Timer,Stressed,87.5,92,20,1,19,1,1.405392,0.9803
243,58,Female,Sometime,Motivated,95,50,19,1,20,1,1.1091,1.5205
244,19,Male,Timer,Stressed,91.6,84,19,0,20,1,1.405392,1.180277
245,35,Male,NoTimer,Neutral,84,47,19,0,19,3,1.08366,0.97388
246,21,Female,NoTimer,Stressed,56,60,20,1,14,1,1.0896,1.04521
247,20,Male,Timer,Avoidant,87.5,48,20,0,19,1,1.1636,0.66055
248,21,Female,Sometime,Motivated,91.6,77.7,20,1,18,1,1.01763,1.144
249,23,Male,Unsure,Avoidant,86.6,60,8,0,20,1,1.15868,1.19848
250,25,Female,NoTimer,Stressed,97,83,19,1,20,1,1.13386,0.66055
251,19,Male,NoTimer,Motivated,40,60,20,0,8,3,1.18352,0.646
252,20,Female,NoTimer,Avoidant,58,95,19,1,15,3,0.8017,0.66055
253,21,Female,NoTimer,Stressed,31.6,100,20,0,15,1,0.9531,0.867389
254,21,Male,Timer,Stressed,56,60,19,1,20,3,0.92298,1.180277
255,19,Female,Timer,Motivated,75,60,19,0,17,1,1.15868,0.9684
256,20,Female,Timer,Stressed,70,10,19,0,19,1,1.13386,0.7927
257,23,Male,Sometime,Stressed,40,48,19,1,19,3,1.0896,1.01614
258,35,Male,NoTimer,Stressed,93,80,19,1,20,2,1.1719,1.1253
259,21,Male,NoTimer,Stressed,41,85,20,0,17,5,1.3282,1.1935
260,19,Male,NoTimer,Stressed,70,87,20,0,20,1,1.18352,1.5205
261,21,Male,Timer,Stressed,100,50,17,3,20,1,0.9408,1.2213
262,21,Female,NoTimer,Stressed,86.6,84,20,0,17,1,1.2681,1.19848
263,19,Female,Unsure,Avoidant,93,72.5,19,0,19,0,1.1719,0.66055
264,20,Female,Sometime,Neutral,95,66.6,20,0,19,0,1.2681,0.97388
265,20,Female,Timer,Stressed,95,10,19,0,19,0,2.29473,1.180277
266,19,Female,Unsure,Neutral,50,83,19,0,15,3,1.18352,1.19848
267,20,Male,Timer,Avoidant,41,90,19,12,20,1,1.7207,1.1935
268,25,Male,NoTimer,Avoidant,86.6,35,19,0,8,0,0.9531,0.9803
269,20,Male,NoTimer,Stressed,72,80,20,0,20,1,1.2681,1.1935
270,20,Male,Sometime,Neutral,75,50,19,3,19,3,1.338783,1.631261
271,20,Male,NoTimer,Stressed,40,50,19,0,18,5,1.3308,1.19848
272,19,Female,Unsure,Neutral,75,87,20,1,17,1,1.2373,0.9684
273,35,Male,NoTimer,Stressed,63.3,84,20,0,19,2,1.13386,1.04521
274,20,Female,NoTimer,Stressed,87.5,10,20,1,18,2,0.6091,1.180277
275,19,Female,Timer,Motivated,80.5,72.5,19,0,18,1,1.405392,1.01614
276,58,Male,Sometime,Stressed,89,50,20,1,18,1,1.405392,1.180277
277,25,Female,Timer,Stressed,100,72.5,17,1,8,1,0.9408,1.08955
278,35,Female,Unsure,Neutral,63.3,60,19,3,18,0,1.01763,0.646
279,19,Female,NoTimer,Avoidant,87.5,80,19,1,20,1,1.338783,1.04521
280,58,Female,Unsure,Stressed,86.6,60,20,0,14,3,1.01763,1.08955
281,25,Male,NoTimer,Stressed,70,84,17,0,19,1,1.2681,0.7902
282,21,Male,Unsure,Neutral,80.5,73.3,20,0,20,1,1.198,1.1935
283,20,Female,Unsure,Neutral,50,47,19,12,19,0,1.01763,0.857
284,21,Female,Timer,Stressed,100,72.5,19,1,20,0,1.877207,1.180277
285,23,Male,Timer,Stressed,40,85,19,1,20,3,1.3282,1.099719
286,21,Female,Timer,Stressed,31.6,100,20,0,20,1,0.6091,0.646
287,20,Male,Timer,Stressed,95,92,20,0,19,1,1.2373,1.5205
288,20,Male,Timer,Neutral,89,77.7,20,0,17,1,1.16364,1.5205
289,19,Male,Timer,Motivated,40,10,20,12,20,0,1.0896,1.5205
290,19,Female,NoTimer,Stressed,41,87,19,0,8,3,1.0338,0.9803
291,25,Female,Unsure,Stressed,62,73.3,20,1,19,0,1.3308,1.595355
292,19,Female,NoTimer,Stressed,84,66.6,8,0,19,1,1.08366,1.2052
293,19,Male,Timer,Stressed,75,65,19,0,20,2,1.07452,1.2213
294,19,Male,Unsure,Stressed,89,50,20,0,20,5,1.1091,1.595355
295,25,Male,NoTimer,Stressed,95,10,19,1,17,2,1.2373,0.9803
296,23,Female,NoTimer,Avoidant,50,50,20,1,8,1,1.0338,1.5205
297,20,Female,Timer,Stressed,63.3,85,19,0,19,1,1.15868,0.66055
298,20,Female,NoTimer,Stressed,50,60,20,0,20,0,1.2681,0.867389
299,19,Male,NoTimer,Stressed,47.5,72.5,8,1,20,1,1.877207,1.08955
300,58,Female,NoTimer,Motivated,95,77.7,19,0,20,6,1.18352,0.646
301,20,Male,Timer,Avoidant,86.6,28,19,0,19,12,1.3308,1.595355
302,20,Female,Sometime,Avoidant,84,89,17,0,19,0,0.8394,1.595355
303,20,Male,Sometime,Avoidant,76.6,50,19,1,19,2,1.877207,1.180277
304,21,Male,NoTimer,Stressed,87.5,10,19,1,17,0,1.3308,1.19848
305,21,Male,NoTimer,Stressed,86.6,60,19,1,20,0,1.3308,1.1221
306,20,Female,Timer,Stressed,40,92,17,0,18,1,1.2373,0.857
307,58,Female,NoTimer,Stressed,91.6,47,19,0,19,5,1.0896,1.1221
308,19,Female,NoTimer,Stressed,40,48,20,1,20,6,1.3308,0.867389
309,21,Female,NoTimer,Avoidant,95,80,17,1,19,2,0.9531,0.97388
310,25,Female,Timer,Stressed,75,72.5,19,0,19,3,1.15868,1.631261
311,21,Male,NoTimer,Motivated,72,95,20,1,18,12,1.338783,1.19848
312,20,Female,Unsure,Stressed,50,50,17,1,8,0,1.0896,1.5205
313,20,Female,Unsure,Neutral,63.3,92,17,3,8,1,1.405392,0.66055
314,20,Male,Sometime,Stressed,50,90,20,0,20,12,1.1636,0.867389
315,20,Female,Sometime,Neutral,91.6,83,19,0,18,0,0.9531,1.180277
316,23,Female,Timer,Motivated,86.6,96.8,19,0,20,2,1.08366,1.02098
317,25,Female,Timer,Neutral,75,73.3,19,0,17,1,0.8394,1.1935
318,58,Female,Timer,Neutral,75,70,19,0,19,0,1.16364,0.9684
319,21,Male,NoTimer,Neutral,89,82,19,1,17,0,0.92298,0.9684
320,21,Male,Sometime,Avoidant,84,73.3,19,0,19,2,0.8394,0.857
321,20,Female,Timer,Avoidant,63.3,47,19,0,20,1,0.9531,1.116699
322,21,Female,NoTimer,Neutral,62,80,19,12,19,0,1.01763,0.7927
323,19,Male,Timer,Stressed,40,80,20,1,20,0,1.405392,0.9457
324,23,Male,NoTimer,Stressed,93,92,19,1,20,0,1.13386,0.867389
325,19,Male,Sometime,Stressed,91.6,100,20,1,20,1,1.3282,0.7927
326,21,Female,NoTimer,Avoidant,91.6,80,19,0,17,0,0.6091,1.19848
327,25,Female,Timer,Stressed,91.6,48,19,0,8,1,1.1636,1.631261
328,20,Male,Timer,Motivated,70,96.8,20,12,8,2,0.9408,1.04521
329,20,Female,Sometime,Stressed,50,92,19,1,20,3,1.877207,0.8191
330,25,Male,NoTimer,Neutral,75,66.6,19,1,15,0,1.18352,1.116699
331,58,Female,Sometime,Motivated,56,50,8,0,18,0,1.3308,1.099719
332,20,Female,Unsure,Motivated,62,76,19,0,20,1,1.405392,1.144
333,21,Female,NoTimer,Motivated,95,35,19,1,19,1,1.877207,0.857
334,25,Female,Sometime,Stressed,76.6,100,20,1,8,2,0.9408,1.19848
335,21,Male,NoTimer,Stressed,65,73.3,20,1,19,5,1.15868,1.19848
336,19,Male,NoTimer,Stressed,40,96.8,8,1,20,1,1.1636,1.2052
337,20,Female,Timer,Stressed,80.5,28,20,1,19,0,1.405392,0.9803
338,20,Female,NoTimer,Avoidant,100,50,8,0,19,0,1.3308,1.01614
339,19,Female,Timer,Motivated,50,85,19,12,20,0,1.1719,0.867389
340,20,Female,Timer,Stressed,40,90,19,1,20,1,1.0896,0.97388
341,35,Female,Timer,Stressed,100,96.8,19,1,17,12,1.3282,0.7927
342,20,Male,Sometime,Avoidant,70,92,17,1,18,3,1.7207,1.01614
343,19,Male,Sometime,Stressed,75,73.3,19,0,18,2,1.1636,1.180277
